date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:34	146/146	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Sep%202025%2010:06:34%20GMT	https://web.archive.org/robots.txt		(from )
12:06:36	22820/22820	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Sep%202025%2010:06:36%20GMT	https://web.archive.org/web/20250220100831/http://arctecnic.cat/	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250220100831/http_/arctecnic.cat/index.html	(from )
12:06:37	26452/26452	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2013%20Aug%202025%2001:23:28%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=FC38Hc5A	C:/Users/ajdob/Downloads/carles/carles/web-static.archive.org/_static/js/bundle-playback0e4c.js	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:37	126763/126763	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2013%20Aug%202025%2001:23:27%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=txqj7nKC	C:/Users/ajdob/Downloads/carles/carles/web-static.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:38	9868/9868	---MCZ	200	added ('OK')	text/css	date:Wed,%2013%20Aug%202025%2001:23:22%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=p7PEIJWi	C:/Users/ajdob/Downloads/carles/carles/web-static.archive.org/_static/css/banner-styles3ae1.css	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:38	381452/381452	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2013%20Aug%202025%2001:23:29%20GMT	https://web-static.archive.org/_static/js/ruffle/ruffle.js	C:/Users/ajdob/Downloads/carles/carles/web-static.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:38	5649/5649	---MCZ	200	added ('OK')	text/css	date:Wed,%2013%20Aug%202025%2001:24:09%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=3PDvdIFv	C:/Users/ajdob/Downloads/carles/carles/web-static.archive.org/_static/css/iconochive29a7.css	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:38	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2026%20Sep%202025%2010:06:39%20GMT	https://web.archive.org/web/20250220100831cs_/http://arctecnic.cat/wp-content/themes/grow/lib/extentions/prettyPhoto/css/prettyPhoto.css?ver=3.1.6	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250220100831cs_/http_/arctecnic.cat/wp-content/themes/grow/lib/extentions/prettyPhoto/css/prettyPhoto005e.css	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:41	37225/37225	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Sep%202025%2010:06:41%20GMT	https://web.archive.org/web/20250125004308cs_/https://arctecnic.cat/wp-content/themes/grow/lib/extentions/prettyPhoto/css/prettyPhoto.css?ver=3.1.6	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250125004308cs_/https_/arctecnic.cat/wp-content/themes/grow/lib/extentions/prettyPhoto/css/prettyPhoto005e.css	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:41	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2026%20Sep%202025%2010:06:41%20GMT	https://web.archive.org/web/20250220100831cs_/http://arctecnic.cat/wp-content/themes/grow/lib/extentions/bootstrap/css/bootstrap.min.css?ver=2.3.2	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250220100831cs_/http_/arctecnic.cat/wp-content/themes/grow/lib/extentions/bootstrap/css/bootstrap.min95b8.css	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:43	69669/69669	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Sep%202025%2010:06:43%20GMT	https://web.archive.org/web/20250125004309cs_/https://arctecnic.cat/wp-content/themes/grow/lib/extentions/bootstrap/css/bootstrap.min.css?ver=2.3.2	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250125004309cs_/https_/arctecnic.cat/wp-content/themes/grow/lib/extentions/bootstrap/css/bootstrap.min95b8.css	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:43	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2026%20Sep%202025%2010:06:43%20GMT	https://web.archive.org/web/20250220100831cs_/http://arctecnic.cat/wp-includes/css/dashicons.min.css?ver=4.9.3	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250220100831cs_/http_/arctecnic.cat/wp-includes/css/dashicons.min6959.css	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:45	47117/47117	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Sep%202025%2010:06:45%20GMT	https://web.archive.org/web/20250125004309cs_/https://arctecnic.cat/wp-includes/css/dashicons.min.css?ver=4.9.3	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250125004309cs_/https_/arctecnic.cat/wp-includes/css/dashicons.min6959.css	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:45	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2026%20Sep%202025%2010:06:45%20GMT	https://web.archive.org/web/20250220100831cs_/http://arctecnic.cat/wp-content/themes/grow/lib/extentions/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250220100831cs_/http_/arctecnic.cat/wp-content/themes/grow/lib/extentions/font-awesome/css/font-awesome.min1849.css	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:47	32153/32153	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Sep%202025%2010:06:47%20GMT	https://web.archive.org/web/20250125004309cs_/https://arctecnic.cat/wp-content/themes/grow/lib/extentions/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250125004309cs_/https_/arctecnic.cat/wp-content/themes/grow/lib/extentions/font-awesome/css/font-awesome.min1849.css	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:47	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2026%20Sep%202025%2010:06:47%20GMT	https://web.archive.org/web/20250220100831cs_/http://arctecnic.cat/wp-content/themes/grow/styles/style-shortcodes.css?ver=1.2.6	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250220100831cs_/http_/arctecnic.cat/wp-content/themes/grow/styles/style-shortcodes578f.css	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:50	48114/48114	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Sep%202025%2010:06:50%20GMT	https://web.archive.org/web/20250125004309cs_/https://arctecnic.cat/wp-content/themes/grow/styles/style-shortcodes.css?ver=1.2.6	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250125004309cs_/https_/arctecnic.cat/wp-content/themes/grow/styles/style-shortcodes578f.css	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:50	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2026%20Sep%202025%2010:06:50%20GMT	https://web.archive.org/web/20250220100831cs_/http://arctecnic.cat/wp-content/themes/grow/style.css?ver=1.2.6	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250220100831cs_/http_/arctecnic.cat/wp-content/themes/grow/style578f.css	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:51	150204/150204	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Sep%202025%2010:06:51%20GMT	https://web.archive.org/web/20250125004309cs_/https://arctecnic.cat/wp-content/themes/grow/style.css?ver=1.2.6	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250125004309cs_/https_/arctecnic.cat/wp-content/themes/grow/style578f.css	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:51	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2026%20Sep%202025%2010:06:51%20GMT	https://web.archive.org/web/20250220100831cs_/http://arctecnic.cat/wp-content/themes/grow/styles/style-responsive.css?ver=1.2.6	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250220100831cs_/http_/arctecnic.cat/wp-content/themes/grow/styles/style-responsive578f.css	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:52	12138/12138	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Sep%202025%2010:06:52%20GMT	https://web.archive.org/web/20250125004309cs_/https://arctecnic.cat/wp-content/themes/grow/styles/style-responsive.css?ver=1.2.6	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250125004309cs_/https_/arctecnic.cat/wp-content/themes/grow/styles/style-responsive578f.css	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:52	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2026%20Sep%202025%2010:06:52%20GMT	https://web.archive.org/web/20250220100831js_/http://arctecnic.cat/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250220100831js_/http_/arctecnic.cat/wp-includes/js/jquery/jqueryb8ff.js	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:54	98538/98538	---MC-	200	added ('OK')	text/javascript	date:Fri,%2026%20Sep%202025%2010:06:53%20GMT	https://web.archive.org/web/20250125004308js_/https://arctecnic.cat/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250125004308js_/https_/arctecnic.cat/wp-includes/js/jquery/jqueryb8ff.js	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:54	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2026%20Sep%202025%2010:06:54%20GMT	https://web.archive.org/web/20250220100831js_/http://arctecnic.cat/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250220100831js_/http_/arctecnic.cat/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:56	11412/11412	---MC-	200	added ('OK')	text/javascript	date:Fri,%2026%20Sep%202025%2010:06:56%20GMT	https://web.archive.org/web/20250125004308js_/https://arctecnic.cat/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250125004308js_/https_/arctecnic.cat/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:56	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2026%20Sep%202025%2010:06:56%20GMT	https://web.archive.org/web/20250220100831im_/https://arctecnic.cat/wp-content/uploads/2017/06/cropped-LOGO_ARCtecnic_curt-1-32x32.jpg	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250220100831im_/https_/arctecnic.cat/wp-content/uploads/2017/06/cropped-LOGO_ARCtecnic_curt-1-32x32.jpg	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:56	711/711	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Sep%202025%2010:06:56%20GMT	https://web.archive.org/web/20250124205520im_/https://arctecnic.cat/wp-content/uploads/2017/06/cropped-LOGO_ARCtecnic_curt-1-32x32.jpg	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250124205520im_/https_/arctecnic.cat/wp-content/uploads/2017/06/cropped-LOGO_ARCtecnic_curt-1-32x32.jpg	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:58	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2026%20Sep%202025%2010:06:58%20GMT	https://web.archive.org/web/20250220100831im_/https://arctecnic.cat/wp-content/uploads/2017/06/cropped-LOGO_ARCtecnic_curt-1-192x192.jpg	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250220100831im_/https_/arctecnic.cat/wp-content/uploads/2017/06/cropped-LOGO_ARCtecnic_curt-1-192x192.jpg	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:06:59	4904/4904	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Sep%202025%2010:06:59%20GMT	https://web.archive.org/web/20250124205520im_/https://arctecnic.cat/wp-content/uploads/2017/06/cropped-LOGO_ARCtecnic_curt-1-192x192.jpg	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250124205520im_/https_/arctecnic.cat/wp-content/uploads/2017/06/cropped-LOGO_ARCtecnic_curt-1-192x192.jpg	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:07:00	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2026%20Sep%202025%2010:07:00%20GMT	https://web.archive.org/web/20250220100831im_/https://arctecnic.cat/wp-content/uploads/2017/06/cropped-LOGO_ARCtecnic_curt-1-180x180.jpg	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250220100831im_/https_/arctecnic.cat/wp-content/uploads/2017/06/cropped-LOGO_ARCtecnic_curt-1-180x180.jpg	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:07:01	4649/4649	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Sep%202025%2010:07:01%20GMT	https://web.archive.org/web/20250124205520im_/https://arctecnic.cat/wp-content/uploads/2017/06/cropped-LOGO_ARCtecnic_curt-1-180x180.jpg	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250124205520im_/https_/arctecnic.cat/wp-content/uploads/2017/06/cropped-LOGO_ARCtecnic_curt-1-180x180.jpg	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:07:01	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2026%20Sep%202025%2010:07:01%20GMT	https://web.archive.org/web/20250220100831im_/https://arctecnic.cat/wp-content/uploads/2017/06/cropped-cropped-cropped-LOGO_ARCtecnic_arquitectura-tecnica.jpg	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250220100831im_/https_/arctecnic.cat/wp-content/uploads/2017/06/cropped-cropped-cropped-LOGO_ARCtecnic_arquitectura-tecnica.jpg	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:07:01	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2026%20Sep%202025%2010:07:02%20GMT	https://web.archive.org/web/20250220100831im_/http://arctecnic.cat/wp-content/themes/grow/images/transparent.png	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250220100831im_/http_/arctecnic.cat/wp-content/themes/grow/images/transparent.png	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:07:01	146466/146466	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Sep%202025%2010:07:01%20GMT	https://web.archive.org/web/20250124205518im_/https://arctecnic.cat/wp-content/uploads/2017/06/cropped-cropped-cropped-LOGO_ARCtecnic_arquitectura-tecnica.jpg	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250124205518im_/https_/arctecnic.cat/wp-content/uploads/2017/06/cropped-cropped-cropped-LOGO_ARCtecnic_arquitectura-tecnica.jpg	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:07:02	68/68	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Sep%202025%2010:07:02%20GMT	https://web.archive.org/web/20250125004308im_/https://arctecnic.cat/wp-content/themes/grow/images/transparent.png	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250125004308im_/https_/arctecnic.cat/wp-content/themes/grow/images/transparent.png	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:07:02	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2026%20Sep%202025%2010:07:02%20GMT	https://web.archive.org/web/20250220100831im_/http://arctecnic.cat/wp-content/uploads/2017/06/fotos-077.jpg	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250220100831im_/http_/arctecnic.cat/wp-content/uploads/2017/06/fotos-077.jpg	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:07:02	48472/48472	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Sep%202025%2010:07:02%20GMT	https://web.archive.org/web/20250124205518im_/http://arctecnic.cat/wp-content/uploads/2017/06/fotos-077.jpg	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250124205518im_/http_/arctecnic.cat/wp-content/uploads/2017/06/fotos-077.jpg	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:07:02	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2026%20Sep%202025%2010:07:03%20GMT	https://web.archive.org/web/20250220100831im_/http://arctecnic.cat/wp-content/uploads/2017/06/gauses-1-1.jpg	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250220100831im_/http_/arctecnic.cat/wp-content/uploads/2017/06/gauses-1-1.jpg	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:07:03	69702/69702	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Sep%202025%2010:07:03%20GMT	https://web.archive.org/web/20250124205518im_/http://arctecnic.cat/wp-content/uploads/2017/06/gauses-1-1.jpg	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250124205518im_/http_/arctecnic.cat/wp-content/uploads/2017/06/gauses-1-1.jpg	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:07:03	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2026%20Sep%202025%2010:07:03%20GMT	https://web.archive.org/web/20250220100831im_/http://arctecnic.cat/wp-content/uploads/2017/06/Imagen-001.jpg	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250220100831im_/http_/arctecnic.cat/wp-content/uploads/2017/06/Imagen-001.jpg	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:07:03	87205/87205	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Sep%202025%2010:07:03%20GMT	https://web.archive.org/web/20250124205518im_/http://arctecnic.cat/wp-content/uploads/2017/06/Imagen-001.jpg	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250124205518im_/http_/arctecnic.cat/wp-content/uploads/2017/06/Imagen-001.jpg	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:07:03	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2026%20Sep%202025%2010:07:04%20GMT	https://web.archive.org/web/20250220100831js_/http://arctecnic.cat/wp-includes/js/imagesloaded.min.js?ver=3.2.0	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250220100831js_/http_/arctecnic.cat/wp-includes/js/imagesloaded.min55a0.js	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
12:07:04	9347/9347	---MC-	200	added ('OK')	text/javascript	date:Fri,%2026%20Sep%202025%2010:07:04%20GMT	https://web.archive.org/web/20250125004308js_/https://arctecnic.cat/wp-includes/js/imagesloaded.min.js?ver=3.2.0	C:/Users/ajdob/Downloads/carles/carles/web.archive.org/web/20250125004308js_/https_/arctecnic.cat/wp-includes/js/imagesloaded.min55a0.js	(from https://web.archive.org/web/20250220100831/http://arctecnic.cat/)
